CID,fsa,fsa2
492862260,v8l,V8L
492862263,v0k,V0K
492862318,t5c,T5C
492862328,r3j,R3J
492862337,l9g,L9G
492862385,v0r,V0R
492862417,b0j,B0J
492862419,h2v,H2V
492862421,t1k,T1K
492862533,e3c,E3C
492862590,t1y,T1Y
492862606,b4n,B4N
492862612,t4x,T4X
492862641,m1e,M1E
492862655,l3x,L3X
492862667,l5b,L5B
492862788,t4p,T4P
492862802,r2e,R2E
492862840,m5m,M5M
492862853,p1b,P1B
492862862,l4c,L4C
492862866,k2h,K2H
492862876,t6g,T6G
492862885,r0c,R0C
492862947,l1a,L1A
492862950,r2g,R2G
492862958,m4g,M4G
492862964,k0c,K0C
492862976,v2s,V2S
492862981,b1a,B1A
492862983,t5t,T5T
492862986,a1g,A1G
492863016,c1e,C1E
492863034,k1v,K1V
492863061,m1j,M1J
492863106,v6k,V6K
492863120,j0g,J0G
492863132,h7m,H7M
492863150,l3z,L3Z
492863154,v2n,V2N
492863156,v5r,V5R
492863160,v3t,V3T
492863162,n0m,N0M
492863186,k1v,K1V
492863207,k2e,K2E
492863237,t2v,T2V
492863250,v5a,V5A
492863262,m8x,M8X
492863287,r6m,R6M
492863333,m9n,M9N
492863348,r2r,R2R
492863357,t2x,T2X
492863369,n2h,N2H
492863390,s4r,S4R
492863438,v9p,V9P
492863487,r2c,R2C
492863596,t4s,T4S
492863603,h8s,H8S
492863659,t5w,T5W
492863774,r2g,R2G
492863866,v2z,V2Z
492863867,j4w,J4W
492863870,s7t,S7T
492863884,v6x,V6X
492863935,t9k,T9K
492864014,h1k,H1K
492864064,b2x,B2X
492864094,e3a,E3A
492864110,v9g,V9G
492864158,t6w,T6W
492864275,v0n,V0N
492864284,t0h,T0H
492864285,t3m,T3M
492864374,v9b,V9B
492864378,v7a,V7A
492864420,r0k,R0K
492864482,v0r,V0R
492864507,a0c,A0C
492864583,h8z,H8Z
492864731,j0x,J0X
492864747,v3t,V3T
492864755,t2b,T2B
492864771,v3n,V3N
492864859,h9e,H9E
492864861,t8a,T8A
492864883,t4h,T4H
492864951,t4p,T4P
492865009,j7w,J7W
492865031,j8x,J8X
492865036,g1n,G1N
492865070,e4g,E4G
492865080,t3j,T3J
492865120,v6t,V6T
492865157,r2k,R2K
492865228,h4w,H4W
492865278,t3b,T3B
492865315,t8n,T8N
492865336,t2g,T2G
492865354,b3m,B3M
492865499,v8p,V8P
492865554,t6j,T6J
492865749,v0r,V0R
492865798,b2v,B2V
492865813,v5x,V5X
492865902,r2j,R2J
492865993,t5z,T5Z
492866006,s6h,S6H
492866065,t5t,T5T
492866107,b0w,B0W
492866109,v0p,V0P
492866142,a1a,A1A
492866150,v3h,V3H
492866177,v3e,V3E
492866182,v3b,V3B
492866268,h3x,H3X
492866296,t8n,T8N
492866353,h1g,H1G
492866696,j2g,J2G
492866699,j0k,J0K
492866800,b2w,B2W
492866857,j3y,J3Y
492867095,a0l,A0L
492867150,t2w,T2W
492867197,v8v,V8V
492867198,j2y,J2Y
492867242,l1v,L1V
492867424,s7l,S7L
492867697,k1j,K1J
492868073,e4z,E4Z
492868434,j0s,J0S
492868910,a0b,A0B
492869166,v4m,V4M
492869602,j9x,J9X
492869631,a0h,A0H
492869824,g1j,G1J
492870082,v5n,V5N
492870944,g0m,G0M
492871107,j8t,J8T
492871169,h9s,H9S
492871348,r3j,R3J
492871390,e1b,E1B
492871582,s7l,S7L
492871731,v5h,V5H
492871810,e8c,E8C
492872095,b0t,B0T
492872176,j7k,J7K
492872191,a0a,A0A
492872199,h1b,H1B
492872222,j7r,J7R
492872237,v3n,V3N
492872393,t6v,T6V
492872559,g2e,G2E
492872742,h1k,H1K
492873277,b0m,B0M
492873299,e3n,E3N
492873370,g9a,G9A
492873493,b2n,B2N
492873682,g6p,G6P
492873756,b0n,B0N
492873857,b2a,B2A
492874207,h4r,H4R
492874364,c1n,C1N
492874443,j6w,J6W
492874733,h9r,H9R
492874769,e2s,E2S
492877672,t0j,T0J
492877692,t2v,T2V
492877847,j0n,J0N
492879232,j0x,J0X
492880394,h3k,H3K
492880469,h8z,H8Z
492880613,j1x,J1X
492881314,h2k,H2K
492881693,h2n,H2N
492883051,h3c,H3C
492884798,j9j,J9J
492884968,j5w,J5W
492885523,h9h,H9H
492885527,h1a,H1A
492886883,g5z,G5Z
492887607,h2s,H2S
492894465,h1e,H1E
492894764,h2t,H2T
492895078,h1j,H1J
492896301,j0n,J0N
492896354,g0l,G0L
492901407,j0a,J0A
492903871,h7n,H7N
492904386,h9r,H9R
492904468,g6p,G6P
492907141,j0k,J0K
492911648,h1x,H1X
492912141,j4z,J4Z
492912945,j8l,J8L
492913893,j7y,J7Y
492914486,h7n,H7N
492914961,j3b,J3B
492916034,g8c,G8C
492916863,h2l,H2L
492923520,h4a,H4A
492924556,h2a,H2A
492924711,k1k,K1K
492929303,h1p,H1P
492933915,g1h,G1H
492938834,j8p,J8P
492939280,j9h,J9H
492942000,h3x,H3X
492942838,g6l,G6L
492945179,j7y,J7Y
492948276,g5l,G5L
492974868,j6a,J6A
492978908,j3y,J3Y
492979639,j0s,J0S
492982680,j0z,J0Z
492983697,j0z,J0Z
492984366,j4x,J4X
492985721,h2k,H2K
492986671,h4r,H4R
492987043,h3w,H3W
492988265,g0a,G0A
492989117,h1z,H1Z
492990308,g5y,G5Y
492991224,j4y,J4Y
492992721,h2l,H2L
492992799,h9s,H9S
492992865,h3m,H3M
492992875,h4w,H4W
492994977,h3w,H3W
493001382,g0w,G0W
493003103,j0e,J0E
493003807,h9p,H9P
493005323,h4v,H4V
493006479,h8p,H8P
493009132,h4n,H4N
493014463,j2k,J2K
493017248,l6r,L6R
493019471,h2t,H2T
493021377,j4k,J4K
493027900,h1k,H1K
493031974,g0k,G0K
493034482,j8y,J8Y
493040942,j4r,J4R
493050053,j6y,J6Y
493054120,g0a,G0A
493054696,j8v,J8V
493070420,h4a,H4A
493095771,h7n,H7N
493099675,j7r,J7R
493101315,h3z,H3Z
493109378,j0x,J0X
493161321,j0s,J0S
493161576,j3y,J3Y
493164051,h3w,H3W
493164612,h4l,H4L
493167086,g8a,G8A
493169412,l0a,L0A
493169457,p1b,P1B
493169790,v5x,V5X
493169798,l6z,L6Z
493169916,r2v,R2V
493169960,n0h,N0H
493169980,h7x,H7X
493169994,n7m,N7M
493170043,r1a,R1A
493170063,m6c,M6C
493170078,r2m,R2M
493170087,j7v,J7V
493170130,n5x,N5X
493170208,r3n,R3N
493170250,n0b,N0B
493170278,t3m,T3M
493170356,m4e,M4E
493170434,n1e,N1E
493170436,p7e,P7E
493170471,k9a,K9A
493170506,n4t,N4T
493170512,s0g,S0G
493170530,j2j,J2J
493170569,p3c,P3C
493170626,r2m,R2M
493170633,t4a,T4A
493170668,k7p,K7P
493170684,k8n,K8N
493170771,g1k,G1K
493170783,k6j,K6J
493170857,h7m,H7M
493170866,l4s,L4S
493170896,k2r,K2R
493170921,p3e,P3E
493170930,t8r,T8R
493170954,p0n,P0N
493171012,t6j,T6J
493171037,l3x,L3X
493171058,m6h,M6H
493171088,m1w,M1W
493171126,l0a,L0A
493171131,k1b,K1B
493171215,r5a,R5A
493171234,m4y,M4Y
493171243,m3a,M3A
493171249,l0l,L0L
493171251,n0g,N0G
493171254,l4y,L4Y
493171281,n8w,N8W
493171290,l5g,L5G
493171311,g2c,G2C
493171334,k1h,K1H
493171345,r0a,R0A
493171349,r2j,R2J
493171352,n0g,N0G
493171400,m4g,M4G
493171426,t5h,T5H
493171434,m4s,M4S
493171448,m3c,M3C
493171496,k1r,K1R
493171517,g2j,G2J
493171520,l9m,L9M
493171579,l8v,L8V
493171642,k0k,K0K
493171683,l9s,L9S
493171696,n1l,N1L
493171704,t1j,T1J
493171708,l9w,L9W
493171728,m1w,M1W
493171746,t1k,T1K
493171749,k8p,K8P
493171774,m9c,M9C
493171775,m2j,M2J
493171845,n0l,N0L
493171846,h1x,H1X
493171873,k6h,K6H
493171874,h7r,H7R
493171909,h2t,H2T
493171935,l9x,L9X
493171940,n8w,N8W
493171949,k4r,K4R
493171965,n2h,N2H
493171969,k0c,K0C
493171982,l5l,L5L
493172006,n5z,N5Z
493172054,j8t,J8T
493172075,l6m,L6M
493172112,n3t,N3T
493172130,h1r,H1R
493172135,k2m,K2M
493172181,m4w,M4W
493172194,l8e,L8E
493172199,l9x,L9X
493172200,h2k,H2K
493172237,p8t,P8T
493172247,n3r,N3R
493172253,m8v,M8V
493172266,m6s,M6S
493172269,l9t,L9T
493172293,v5n,V5N
493172298,k9j,K9J
493172319,l1x,L1X
493172351,p1b,P1B
493172364,l2m,L2M
493172395,r5g,R5G
493172407,m9c,M9C
493172410,mvj,MVJ
493172430,p1b,P1B
493172433,h9h,H9H
493172467,l9w,L9W
493172530,m3a,M3A
493172536,l4c,L4C
493172537,t6v,T6V
493172576,k8v,K8V
493172585,h4r,H4R
493172588,p1p,P1P
493172602,m5j,M5J
493172606,m5v,M5V
493172620,k7r,K7R
493172646,m1j,M1J
493172722,v0n,V0N
493172743,l4j,L4J
493172770,s4p,S4P
493172788,p8n,P8N
493172795,m5a,M5A
493172798,n6h,N6H
493172817,m5m,M5M
493172850,r2n,R2N
493172852,n8x,N8X
493172868,l5h,L5H
493172879,l3v,L3V
493172926,j7v,J7V
493172935,l9s,L9S
493173008,n5p,N5P
493173011,m6s,M6S
493173017,k1y,K1Y
493173025,r7c,R7C
493173036,p6a,P6A
493173042,m5m,M5M
493173062,m8y,M8Y
493173078,r3g,R3G
493173112,p7c,P7C
493173120,l1p,L1P
493173154,n5z,N5Z
493173166,v4r,V4R
493173174,j0k,J0K
493173175,k2k,K2K
493173207,r2j,R2J
493173230,l1g,L1G
493173248,v6h,V6H
493173250,k8v,K8V
493173263,p0a,P0A
493173279,v8v,V8V
493173285,l0b,L0B
493173338,n9y,N9Y
493173339,l7t,L7T
493173352,k8v,K8V
493173354,l8b,L8B
493173360,r3r,R3R
493173377,m8v,M8V
493173439,p2a,P2A
493173443,t2e,T2E
493173460,p0m,P0M
493173468,v1y,V1Y
493173470,k0e,K0E
493173544,s7h,S7H
493173564,m5a,M5A
493173565,s4w,S4W
493173585,n4l,N4L
493173616,m4c,M4C
493173620,m2m,M2M
493173636,l1k,L1K
493173641,m3c,M3C
493173651,j0h,J0H
493173666,r2p,R2P
493173719,h8n,H8N
493173726,m1k,M1K
493173731,h3z,H3Z
493173736,l7l,L7L
493173739,p7g,P7G
493173743,p0j,P0J
493173756,l2m,L2M
493173766,m4m,M4M
493173842,m6k,M6K
493173848,m9a,M9A
493173872,k7l,K7L
493173890,s6h,S6H
493173897,j1j,J1J
493173936,h9r,H9R
493173941,l0m,L0M
493173963,m4y,M4Y
493173991,m5a,M5A
493173992,l1h,L1H
493174052,k1g,K1G
493174084,l3r,L3R
493174093,r0e,R0E
493174124,n0k,N0K
493174126,v4l,V4L
493174137,m1m,M1M
493174138,l4n,L4N
493174178,k0m,K0M
493174239,n2l,N2L
493174259,l5l,L5L
493174268,r1a,R1A
493174277,m8v,M8V
493174323,n0r,N0R
493174390,s4v,S4V
493174440,m6s,M6S
493174462,k2g,K2G
493174509,p3b,P3B
493174514,n0g,N0G
493174540,l1g,L1G
493174632,m5n,M5N
493174640,l1b,L1B
493174651,l7m,L7M
493174657,l4j,L4J
493174686,l3r,L3R
493174701,h4k,H4K
493174723,t1h,T1H
493174735,l4x,L4X
493174752,n9g,N9G
493174765,k0k,K0K
493174770,j0r,J0R
493174815,v4n,V4N
493174844,m2h,M2H
493174879,l1g,L1G
493174903,r0g,R0G
493174949,l3t,L3T
493174952,m6h,M6H
493175071,l5n,L5N
493175074,l2m,L2M
493175093,k1r,K1R
493175100,g0n,G0N
493175107,v7k,V7K
493175120,m1t,M1T
493175138,l4c,L4C
493175151,k6a,K6A
493175162,p3c,P3C
493175197,t6j,T6J
493175238,m5r,M5R
493175276,l6b,L6B
493175278,n6a,N6A
493175288,m6g,M6G
493175302,s7k,S7K
493175336,n8n,N8N
493175376,t2h,T2H
493175392,l1c,L1C
493175398,p0h,P0H
493175399,m1t,M1T
493175404,l2t,L2T
493175409,k8n,K8N
493175437,j6w,J6W
493175463,m9w,M9W
493175509,m1r,M1R
493175526,n2n,N2N
493175534,n5z,N5Z
493175541,t3k,T3K
493175543,l7g,L7G
493175629,j6w,J6W
493175632,l3v,L3V
493175635,k1c,K1C
493175637,l5n,L5N
493175641,n8a,N8A
493175673,r2r,R2R
493175718,k4a,K4A
493175736,n2t,N2T
493175792,k1e,K1E
493175811,m6e,M6E
493175814,l3p,L3P
493175845,k1h,K1H
493175883,k7a,K7A
493175902,l0g,L0G
493175954,t8a,T8A
493175981,l0r,L0R
493176015,l5c,L5C
493176077,k0e,K0E
493176084,n8y,N8Y
493176090,l9g,L9G
493176096,n0c,N0C
493176125,l7m,L7M
493176127,k9j,K9J
493176137,m4x,M4X
493176140,h3e,H3E
493176143,n8n,N8N
493176146,l3r,L3R
493176170,p0p,P0P
493176186,l4s,L4S
493176276,h1n,H1N
493176282,t3h,T3H
493176290,n5l,N5L
493176302,p7g,P7G
493176337,t5m,T5M
493176355,n8n,N8N
493176364,n9j,N9J
493176372,m4n,M4N
493176379,j9y,J9Y
493176417,v7s,V7S
493176419,m6r,M6R
493176450,m2k,M2K
493176459,m2n,M2N
493176484,v2y,V2Y
493176497,m3m,M3M
493176510,m9m,M9M
493176531,l1n,L1N
493176560,l8k,L8K
493176561,v2k,V2K
493176570,p3y,P3Y
493176582,m4c,M4C
493176634,v2p,V2P
493176646,k6v,K6V
493176653,k6j,K6J
493176663,n3a,N3A
493176677,s7n,S7N
493176679,t2y,T2Y
493176692,k0a,K0A
493176697,m5t,M5T
493176700,s4x,S4X
493176709,m3c,M3C
493176714,n1l,N1L
493176716,v7m,V7M
493176725,r2v,R2V
493176731,h9g,H9G
493176732,m4y,M4Y
493176767,n7l,N7L
493176797,l7e,L7E
493176803,k9a,K9A
493176812,l3p,L3P
493176842,s6h,S6H
493176844,s0k,S0K
493176845,k4k,K4K
493176856,p2n,P2N
493176893,r3x,R3X
493176925,s7t,S7T
493176947,m3j,M3J
493176950,l0r,L0R
493176959,v1m,V1M
493176966,k7h,K7H
493176976,r3x,R3X
493176985,t3b,T3B
493177028,t5g,T5G
493177049,s7s,S7S
493177070,s0a,S0A
493177080,n0b,N0B
493177119,t2g,T2G
493177170,m4p,M4P
493177180,k0j,K0J
493177214,t5a,T5A
493177220,k2w,K2W
493177239,s7k,S7K
493177254,v3l,V3L
493177275,n2h,N2H
493177316,l9y,L9Y
493177333,t4g,T4G
493177357,r3l,R3L
493177378,h1m,H1M
493177404,m5r,M5R
493177476,l1j,L1J
493177539,r3p,R3P
493177548,p0w,P0W
493177573,l8m,L8M
493177585,m2r,M2R
493177589,t1a,T1A
493177596,s7k,S7K
493177598,h8r,H8R
493177602,l7t,L7T
493177627,s9h,S9H
493177637,p7a,P7A
493177647,n0b,N0B
493177656,r0g,R0G
493177663,k9j,K9J
493177676,l6v,L6V
493177738,v1t,V1T
493177762,v5x,V5X
493177852,l4c,L4C
493177857,v3j,V3J
493177921,h4n,H4N
493178023,t5p,T5P
493178230,h7g,H7G
493178251,t2e,T2E
493178426,j0p,J0P
493178478,j2j,J2J
493178694,j6t,J6T
493179297,j0k,J0K
493179302,h1r,H1R
493179360,h9g,H9G
493179377,j5a,J5A
493179405,g0m,G0M
493179842,g7a,G7A
493179847,j0r,J0R
493179927,m2n,M2N
493179939,h8n,H8N
493179946,h4g,H4G
493180197,j4t,J4T
493180405,h3n,H3N
493180604,h9e,H9E
493181221,j2c,J2C
493181276,h1k,H1K
493181368,g0s,G0S
493181376,h9r,H9R
493181423,h9h,H9H
493181498,j2k,J2K
493181620,j3l,J3L
493181636,j5w,J5W
493181910,h9a,H9A
493182017,h2c,H2C
493182145,h9a,H9A
493182192,j4x,J4X
493182257,g0c,G0C
493182305,h4v,H4V
493182521,j6y,J6Y
493182692,h2r,H2R
493183026,h3g,H3G
493183596,j4v,J4V
493183675,h2e,H2E
493184409,j0t,J0T
493184841,h1w,H1W
493185171,t5t,T5T
493185391,j7r,J7R
493185536,h9g,H9G
493185699,h4e,H4E
493185780,g6p,G6P
493186339,t6r,T6R
493186347,r2c,R2C
493186525,k7k,K7K
493186949,n5w,N5W
493187444,n5a,N5A
493187695,h2g,H2G
493187921,h8n,H8N
493188016,k0a,K0A
493188677,h4w,H4W
493188885,h1t,H1T
493189870,j0x,J0X
493190027,h9a,H9A
493190104,j7j,J7J
493190167,j7t,J7T
493190376,g0x,G0X
493190661,g7h,G7H
493190868,h2r,H2R
493192871,h2g,H2G
493193527,j8r,J8R
493193532,h3c,H3C
493193610,g0a,G0A
493194379,j6k,J6K
493194402,h2h,H2H
493195191,h4e,H4E
493195263,g7a,G7A
493195548,h9c,H9C
493196551,j8t,J8T
493197467,g0p,G0P
493198745,h1r,H1R
493200024,g5h,G5H
493200509,g8y,G8Y
493200547,h9a,H9A
493200600,h8s,H8S
493200639,j1t,J1T
493200800,j6e,J6E
493201881,g2c,G2C
493202344,j0x,J0X
493202435,h1s,H1S
493203406,j4y,J4Y
493203415,2y9,2Y9
493204262,h9r,H9R
493205063,h9j,H9J
493205253,j6x,J6X
493206137,h8t,H8T
493206780,j2x,J2X
493206879,h7t,H7T
493207684,j9x,J9X
493208295,j3e,J3E
493209085,j8t,J8T
493209299,j4r,J4R
493209944,j1l,J1L
493209983,j0s,J0S
493210113,h9r,H9R
493210405,g0k,G0K
493210623,h8r,H8R
493212343,j8p,J8P
493212450,h8r,H8R
493212809,r3m,R3M
493213099,h7m,H7M
493213314,h7x,H7X
493213491,j5v,J5V
493213681,h1r,H1R
493214152,j4x,J4X
493214335,h7e,H7E
493214418,j6e,J6E
493214915,j0x,J0X
493216079,j8g,J8G
493216100,j4j,J4J
493217399,g1b,G1B
493217781,h3n,H3N
493217996,j5y,J5Y
493218019,j4g,J4G
493219045,h2g,H2G
493221110,h9s,H9S
493221416,g3g,G3G
493222081,j2s,J2S
493222498,j0b,J0B
493223155,j4x,J4X
493223596,j4k,J4K
493223638,h1x,H1X
493224983,g0x,G0X
493226115,h1g,H1G
493226354,h3h,H3H
493226542,g0c,G0C
493226949,h1h,H1H
493226959,j6k,J6K
493227048,h4n,H4N
493227529,j3a,J3A
493227617,h7l,H7L
493227770,j6k,J6K
493228032,g2k,G2K
493228194,j0k,J0K
493228718,h1v,H1V
493229027,h3w,H3W
493229535,j3b,J3B
493229720,j4b,J4B
493230687,h2x,H2X
493230780,j4g,J4G
493231461,h4v,H4V
493231906,g3a,G3A
493232126,j3g,J3G
493232407,g8y,G8Y
493232902,h3c,H3C
493232922,h1n,H1N
493232997,j8b,J8B
493234647,j0n,J0N
493234743,j7v,J7V
493235291,k6h,K6H
493238340,j4w,J4W
493239543,h4h,H4H
493239653,h3x,H3X
493240034,h4k,H4K
493240170,h9s,H9S
493240931,g5r,G5R
493241166,j4z,J4Z
493242227,g7h,G7H
493242546,j6e,J6E
493242663,j6z,J6Z
493242720,h4v,H4V
493243629,h8z,H8Z
493244406,j0r,J0R
493244960,j4t,J4T
493245036,h9b,H9B
493245074,j3p,J3P
493245344,h7<,H7<
493245921,h4n,H4N
493245923,j0b,J0B
493245928,h1g,H1G
493245939,h1e,H1E
493247530,h9b,H9B
493247885,j0k,J0K
493249340,h1x,H1X
493250032,j7a,J7A
493251355,h7t,H7T
493251636,j4n,J4N
493253254,h8n,H8N
493253399,h8r,H8R
493256180,h9a,H9A
493256263,j5j,J5J
493258337,j8p,J8P
493259768,j8l,J8L
493261690,h1w,H1W
493262609,h4l,H4L
493264727,j4j,J4J
493264891,g1v,G1V
493265201,g9a,G9A
493265457,h9a,H9A
493265665,h9b,H9B
493265746,h2k,H2K
493266104,h1r,H1R
493266546,h4x,H4X
493266656,g1v,G1V
493266887,j0t,J0T
493266904,g0c,G0C
493267619,h4v,H4V
493267973,h1r,H1R
493268695,g1b,G1B
493268983,h4v,H4V
493269146,j9h,J9H
493278820,j3v,J3V
493281667,h7v,H7V
493281752,j7m,J7M
493282828,h2a,H2A
493290141,r0e,R0E
493300212,r3g,R3G
493450918,k2b,K2B
493451079,l1v,L1V
493451710,m4j,M4J
493452016,p7g,P7G
493452019,h4a,H4A
493452391,k1r,K1R
493452398,k8h,K8H
493453224,h8r,H8R
493453451,m1b,M1B
493453576,j6n,J6N
493454132,h2a,H2A
493454446,h4r,H4R
493454526,h2w,H2W
493454782,h3c,H3C
493458361,j0e,J0E
493459001,h4e,H4E
493459671,j0e,J0E
493459775,m1e,M1E
493464040,m6h,M6H
493464128,m6s,M6S
493471686,h7m,H7M
493472045,l6e,L6E
493514255,k7m,K7M
493514274,r1c,R1C
493514711,n1g,N1G
493514768,t6e,T6E
493516337,s0j,S0J
493518058,k2h,K2H
493521446,n8n,N8N
493521501,l6m,L6M
493522774,t6l,T6L
493524080,p0j,P0J
493535223,r0e,R0E
493539139,m4l,M4L
493539422,p3y,P3Y
493539771,p6a,P6A
493539856,v9j,V9J
493539860,t5y,T5Y
493539864,v1l,V1L
493539920,t2w,T2W
493539990,t7e,T7E
493540031,l4j,L4J
493540088,l4p,L4P
493540094,k9v,K9V
493540125,l5v,L5V
493540127,m1t,M1T
493540158,t2a,T2A
493540168,m2n,M2N
493540315,m5j,M5J
493540353,h4a,H4A
493541701,v2z,V2Z
493542018,p6c,P6C
493542050,r3b,R3B
493543488,j0k,J0K
493544406,n2a,N2A
493545769,h7x,H7X
493546336,h2a,H2A
493546792,k6h,K6H
493548416,v6e,V6E
493549828,r2p,R2P
493554727,v3c,V3C
493554982,t6j,T6J
493554994,t4c,T4C
493555067,s4s,S4S
493557304,h8r,H8R
493559146,t6k,T6K
493560287,h9a,H9A
493565228,r2c,R2C
493572297,l2v,L2V
493576242,r0e,R0E
493583137,h2r,H2R
493591588,j4b,J4B
493592663,0c2,0C2
493594893,t2n,T2N
493595562,v5x,V5X
493687692,k1y,K1Y
493857553,h2j,H2J
494000530,e1g,E1G
494079952,r3v,R3V
494110535,e3b,E3B
494269159,n2m,N2M
494273841,k7p,K7P
494308302,m8z,M8Z
494534717,k9l,K9L
494534731,t1j,T1J
494534931,v6y,V6Y
494536114,v5m,V5M
494540641,b3n,B3N
494540698,m4n,M4N
494540953,s7t,S7T
494541584,306,306
494542078,b0n,B0N
494543063,l8g,L8G
494545781,l9t,L9T
494547229,t4p,T4P
494547244,k7m,K7M
494548163,r3y,R3Y
494550417,t6r,T6R
494552418,r7b,R7B
494557355,s3n,S3N
494558518,t4p,T4P
494560682,n3w,N3W
494563896,t3b,T3B
494567184,v3r,V3R
494569754,v1t,V1T
494572498,n9g,N9G
494573547,r3p,R3P
494576389,v1m,V1M
494577754,x0e,X0E
494580664,v1c,V1C
494580904,k8p,K8P
494635768,g2b,G2B
494636860,l4e,L4E
494649385,l3x,L3X
494655633,l4p,L4P
494662489,k2l,K2L
494665141,l9n,L9N
494666279,l6g,L6G
494674377,l6t,L6T
494685756,n2e,N2E
494689395,k8n,K8N
494696929,0b7,0B7
494711736,l6a,L6A
494715561,l8b,L8B
494725786,b4v,B4V
494735947,b0e,B0E
494752557,c1a,C1A
494755017,s7v,S7V
494832470,a1k,A1K
494844608,n2b,N2B
494883279,v7g,V7G
494894003,t3p,T3P
494964884,l9h,L9H
495022385,e2k,E2K
495033691,p0m,P0M
495034928,p0g,P0G
495035390,k9j,K9J
495036069,p4n,P4N
495039371,k0h,K0H
495051278,k9v,K9V
495058073,a0l,A0L
495062201,t2y,T2Y
495063690,l1n,L1N
495064174,t5r,T5R
495065966,r2j,R2J
495073702,t8a,T8A
495073897,t2v,T2V
495076297,t4b,T4B
495076776,v1y,V1Y
495078960,r3y,R3Y
495081005,m5c,M5C
495085514,v9w,V9W
495088063,v1c,V1C
495090887,r3r,R3R
495105330,e3b,E3B
495108076,v7n,V7N
495115019,x0c,X0C
495117363,p0k,P0K
495125420,v2a,V2A
495128663,p0p,P0P
495129675,v2n,V2N
495142516,v2a,V2A
495147015,t5k,T5K
495148905,n7m,N7M
495149394,b0j,B0J
495174755,n6h,N6H
495174909,v8b,V8B
495191669,v7p,V7P
495209110,v2e,V2E
495315711,n1g,N1G
495321798,k2g,K2G
495336657,l3x,L3X
495341301,n2j,N2J
495344897,p0j,P0J
495352275,t5w,T5W
495363887,x1a,X1A
495366481,v1e,V1E
495370590,c1b,C1B
495419559,p7c,P7C
495420686,t2y,T2Y
495427994,l1n,L1N
495440850,l3z,L3Z
495454162,n6k,N6K
495454885,v9s,V9S
495574064,n8n,N8N
495620369,k0c,K0C
495645374,p0l,P0L
495677102,l1g,L1G
495732418,l6m,L6M
495811595,n3l,N3L
496062041,k0m,K0M
496154447,v1v,V1V
496450103,k1g,K1G
496528049,k1b,K1B
496728036,t5h,T5H
496951099,k0l,K0L
496955329,m6g,M6G
496978536,v3b,V3B
496983429,t2z,T2Z
497010886,b4b,B4B
497053361,p7a,P7A
497082097,t6e,T6E
498645565,s9h,S9H
498774424,v9b,V9B
499285481,r0c,R0C
